SF_SWITCH_FALLTHROUGH	RSPEC-128
DMI_LONG_BITS_TO_DOUBLE_INVOKED_ON_INT	RSPEC-2127
SA_LOCAL_SELF_COMPARISON	RSPEC-1764
SA_FIELD_SELF_COMPUTATION	RSPEC-1764
NO_NOTIFY_NOT_NOTIFYALL	RSPEC-2446
BX_UNBOXING_IMMEDIATELY_REBOXED	RSPEC-2153
EQ_COMPARETO_USE_OBJECT_EQUALS	RSPEC-1210
LI_LAZY_INIT_UPDATE_STATIC	RSPEC-2444
SE_NONLONG_SERIALVERSIONID	RSPEC-2057
RC_REF_COMPARISON_BAD_PRACTICE	RSPEC-1698
NM_LCASE_HASHCODE	RSPEC-1221
IL_CONTAINER_ADDED_TO_ITSELF	RSPEC-2114
ES_COMPARING_PARAMETER_STRING_WITH_EQ	StringEqualityComparisonCheck
VA_FORMAT_STRING_BAD_CONVERSION	RSPEC-2275
UW_UNCOND_WAIT	RSPEC-2274
CO_COMPARETO_RESULTS_MIN_VALUE	RSPEC-2167
DL_SYNCHRONIZATION_ON_UNSHARED_BOXED_PRIMITIVE	RSPEC-1860
NP_BOOLEAN_RETURN_NULL	RSPEC-2447
DM_GC	RSPEC-1215
DL_SYNCHRONIZATION_ON_BOXED_PRIMITIVE	RSPEC-1860
DE_MIGHT_DROP	RSPEC-108
URF_UNREAD_FIELD	RSPEC-1068
NP_NULL_INSTANCEOF	RSPEC-1850
RV_CHECK_COMPARETO_FOR_SPECIFIC_RETURN_VALUE	RSPEC-2200
ICAST_INT_2_LONG_AS_INSTANT	RSPEC-2184
SWL_SLEEP_WITH_LOCK_HELD	RSPEC-2276
FI_PUBLIC_SHOULD_BE_PROTECTED	RSPEC-1174
EQ_OTHER_NO_OBJECT	RSPEC-1201
FI_EMPTY	RSPEC-1186
UWF_NULL_FIELD	RSPEC-1068
EQ_ABSTRACT_SELF	RSPEC-1201
NM_SAME_SIMPLE_NAME_AS_SUPERCLASS	RSPEC-2176
J2EE_STORE_OF_NON_SERIALIZABLE_OBJECT_INTO_SESSION	RSPEC-2441
NM_CLASS_NOT_EXCEPTION	RSPEC-2166
